 ,Area,Mean,Min,Max,Angle,Length,Angle Normalized
533,1.086,222.484,187.725,243,64.101,14.379,64.101
534,0.906,223.38,202.854,243,46.521,11.988,46.521
535,0.9,224.034,199.743,243,-9.758,11.927,170.242
536,0.945,221.916,187.299,242.902,-10.641,12.562,169.359
537,0.866,197.693,152.502,241.782,31.092,11.482,31.092
538,0.641,224.97,188.8,242.563,-7.628,8.472,172.372
539,0.523,225.119,191.379,243,-20.194,6.929,159.806
540,0.636,228.498,206.102,242.523,-83.83,8.398,96.17
541,0.63,218.332,185.665,242.279,-84.341,8.338,95.659
542,0.714,185.837,177.095,199.667,23.733,9.468,23.733
543,0.951,211.58,152.389,243,33.124,12.606,33.124
544,0.883,200.124,140.377,243,-65.739,11.682,114.261
545,0.647,204.106,132.753,239.154,-77.905,8.542,102.095
546,0.726,210.594,160.804,243,-68.703,9.563,111.297
547,0.849,173.6,103.722,243,51.52,11.245,51.52
548,0.624,192.542,124.853,243,48.715,8.222,48.715
549,0.894,177.905,131.09,241.577,-5.096,11.847,174.904
550,0.861,168.935,135.592,232.492,-3.789,11.375,176.211
551,0.742,218.519,184.82,242.916,-1.312,9.852,178.688
552,0.596,167.706,140.655,223.547,-6.582,7.907,173.418
553,0.962,170.347,133.376,225.999,9.794,12.782,9.794
554,1.198,210.136,118.623,242.81,-10.886,15.876,169.114
555,0.928,103.987,58.689,238.011,26.721,12.298,26.721
556,0.754,167.2,93.093,243,9.107,9.971,9.107
557,1.209,198.254,143.881,242.749,2.42,16.013,2.42
558,0.866,168.341,0,194.422,23.886,11.438,23.886
559,0.996,184.646,150,242.277,22.77,13.177,22.77
560,0.934,218.042,182.258,242.83,-21.866,12.339,158.134
561,0.737,178.862,27,204.358,-32.709,9.737,147.291
562,1.012,179.792,27,229.704,40.705,13.439,40.705
563,1.181,206.83,158.341,242.706,-4.672,15.654,175.328
564,1.041,162.909,146.986,182.667,3.111,13.818,3.111
565,1.209,156.103,1.196,236.034,3.743,16.084,3.743
566,1.288,217.513,51.868,243,2.762,17.121,2.762
567,1.024,137.272,66,230.552,-75.579,13.582,104.421
568,1.119,205.613,147.718,243,8.702,14.871,8.702
569,0.962,216.738,165.926,242.685,10.516,12.768,10.516
570,1.007,209.662,179.658,242.156,57.207,13.342,57.207
571,0.917,216.821,167.448,243,-22.457,12.146,157.543
572,1.204,213.251,128.798,243,15.798,15.954,15.798
573,1.266,221.043,186.765,243,15.77,16.827,15.77
574,1.052,212.295,132.093,243,-7.392,13.973,172.608
575,1.429,194.716,121.327,243,-7.013,18.99,172.987
576,0.973,206.261,170.054,243,-106.54,12.926,73.46
577,0.872,229.5,203.774,242.805,-99.34,11.557,80.66
578,1.069,220.044,192.509,242.752,-104.697,14.178,75.303
579,0.793,229.503,209.343,243,-107.916,10.5,72.084
580,1.187,227.199,198.873,243,27.542,15.721,27.542
581,1.125,215.79,183.05,242.783,24.634,14.922,24.634
582,0.866,194.072,79.031,243,12.854,11.476,12.854
583,1.164,196.361,147.667,243,24.329,15.485,24.329
584,1.091,218.745,170.495,242.868,0.298,14.45,0.298
585,1.209,148.629,101.654,243,1.071,16.054,1.071
