 ,Area,Mean,Min,Max,Angle,Length,Angle Normalized
442,0.956,143.754,0,239.524,-24.135,12.667,155.865
443,0.855,121.183,73.232,145.985,-1.517,11.304,178.483
444,1.164,130.679,83.764,237.195,-21.956,15.413,158.044
445,0.984,141.456,113.569,241.969,20.209,13.021,20.209
446,1.17,134.253,78.132,241.698,-6.125,15.488,173.875
447,1.108,121.576,96.156,241.407,-7.923,14.736,172.077
448,0.771,124.48,98.634,205.946,-11.061,10.198,168.939
449,0.72,129.033,83.659,241.113,38.589,9.503,38.589
450,0.759,123.272,36.387,242.625,-63.243,10.018,116.757
451,0.72,143.05,54.175,240.908,-54.934,9.515,125.066
452,0.647,143.867,107.646,232.026,-115.894,8.565,64.106
453,0.709,133.416,72.689,229.163,-76.075,9.338,103.925
454,0.838,96.433,79.489,130.216,-2.322,11.109,177.678
455,0.793,143.441,79.857,240.844,-20.508,10.475,159.492
456,0.861,98.67,49.628,232.425,37.776,11.411,37.776
457,1.153,183.116,103.182,243,11.034,15.278,11.034
458,0.787,145.448,80.333,208.784,11.149,10.453,11.149
459,0.607,144.565,104.982,208.271,16.905,7.988,16.905
460,1.086,113.593,72.125,243,3.576,14.428,3.576
461,0.861,115.355,77.342,184.952,6.423,11.419,6.423
462,0.72,107.788,66.627,234.118,20.875,9.527,20.875
463,1.204,93.58,52.371,239.911,10.039,15.939,10.039
464,0.832,113.506,81.716,205.244,13.374,11.011,13.374
465,0.872,198.111,180.783,241.601,12.328,11.563,12.328
466,0.731,211.944,182.11,243,-16.189,9.684,163.811
467,0.619,138.612,86.683,240.962,-23.962,8.148,156.038
468,0.714,220.993,163.127,243,-14.697,9.472,165.303
469,0.714,126.961,100.732,234.237,21.463,9.452,21.463
470,0.816,142.608,39.325,241.074,-56.976,10.776,123.024
471,0.81,108.611,73.208,231.548,-4,10.723,176
472,0.844,100.889,67.23,194.114,8.455,11.173,8.455
473,1.057,160.628,130.663,178.198,-2.755,14.041,177.245
474,1.254,168.323,141,226,0,16.65,0
475,0.984,178.33,162.891,196.022,-25.236,13.017,154.764
476,1.012,179.066,142.345,237.515,-73.791,13.434,106.209
477,0.922,188.365,154.179,237.98,-55.238,12.233,124.762
478,1.282,203.252,183.533,243,-92.522,17.042,87.478
479,0.894,176.688,149.486,220.598,-77.196,11.845,102.804
480,1.024,163.331,93.843,238.73,18.034,13.567,18.034
481,1.192,138.406,78.497,238.349,10.937,15.812,10.937
482,0.804,218.822,178.544,243,7.674,10.671,7.674
483,0.967,207.875,124.681,243,8.746,12.824,8.746
484,0.939,172.538,147,234.757,15.376,12.445,15.376
485,0.962,127.298,105.416,149.384,11.508,12.782,11.508
486,0.979,130.374,91.713,240.389,19.898,13.001,19.898
487,0.979,145.022,113.609,236.567,21.371,12.967,21.371
488,1.282,222.426,196.11,243,6.843,16.996,6.843
489,1.052,141.252,99.462,238.597,-24.495,13.929,155.505
490,1.136,111.787,36.332,186.897,-28.474,15.102,151.526
491,0.827,172.968,160.316,191,5.515,10.926,5.515
492,0.883,180.846,152,227.237,5.894,11.687,5.894
493,1.316,205.557,184.706,216.713,-26.014,17.442,153.986
494,1.018,196.415,184.18,221.528,-23.995,13.463,156.005
495,0.855,104.471,93.975,114.356,6.466,11.322,6.466
496,0.9,173.77,153.778,238.588,-20.26,11.912,159.74
497,1.181,166.678,91.203,242.756,-28.523,15.706,151.477
498,1.226,173.359,128.896,243,-7.943,16.281,172.057
499,1.215,146.652,104.626,229.388,-156.766,16.161,23.234
500,1.344,182.478,146.845,240.982,18.892,17.836,18.892
501,1.187,168.24,153.843,181.343,-0.818,15.752,179.182
502,1.164,187.601,169.603,203.831,14.036,15.462,14.036
503,0.9,229.902,203.849,243,-93.24,11.944,86.76
504,0.883,228.602,204.383,243,-100.733,11.679,79.267
505,1.356,229.673,208.781,243,9.345,18.014,9.345
506,0.872,225.172,195.182,243,-114.075,11.583,65.925
507,1.041,163.11,53.564,238.375,-135.441,13.789,44.559
508,1.153,218.844,176.17,243,7.055,15.266,7.055
509,0.928,217.81,195.28,243,51.177,12.322,51.177
510,1.221,215.06,187.284,243,49.313,16.221,49.313
511,1.316,227.406,205.96,243,13.381,17.5,13.381
512,1.215,220.04,187.342,243,-8.544,16.154,171.456
513,1.277,219.465,189.217,243,-8.13,16.971,171.87
514,1.063,207.83,172.087,243,27.929,14.091,27.929
515,0.951,139.108,116.688,233.439,13.788,12.588,13.788
516,1.389,214.326,179.385,243,17.479,18.478,17.479
517,1.288,210.327,165.358,243,20.262,17.109,20.262
518,0.562,215.18,178.289,243,-110.624,7.453,69.376
519,1.119,206.586,148.379,243,-60.721,14.875,119.279
520,0.934,207.286,150.273,243,-59.394,12.374,120.606
521,1.367,171.028,105.475,234.446,0.237,18.15,0.237
522,0.973,144.111,122.528,231.226,10.722,12.9,10.722
523,1.316,134.435,91.986,234.873,9.624,17.496,9.624
524,0.686,197.943,73.427,243,-121.855,9.095,58.145
525,0.979,222.006,139.429,243,31.304,12.991,31.304
526,0.928,176.042,7.241,206.131,-17.771,12.286,162.229
527,0.697,187.153,125,230.504,24.482,9.23,24.482
528,0.422,215.372,168.938,243,55.452,5.555,55.452
529,0.759,223.523,134.342,243,77.101,10.079,77.101
530,1.62,156.726,0,226.074,14.957,21.504,14.957
531,1.356,140.019,119,239.133,-3.1,18.026,176.9
532,1.232,219.88,190.075,243,4.479,16.325,4.479
533,1.401,124.413,61.479,223.667,8.359,18.572,8.359
534,1.288,129.788,0,222.645,-22.407,17.117,157.593
535,1.249,200.387,151.183,243,-128.943,16.586,51.057
536,0.99,129.15,0,243,-158.868,13.106,21.132
537,1.147,107.994,54.139,235.309,-161.297,15.203,18.703
538,1.288,119.205,55.622,241.437,-68.152,17.13,111.848
539,1.086,126.128,51.861,243,-66.371,14.408,113.629
540,0.996,146.711,63.974,243,-79.52,13.195,100.48
541,1.361,142.879,4.046,237.574,-10.984,18.107,169.016
542,1.44,162.879,134.677,241.35,-15.945,19.11,164.055
543,1.159,196.041,183.877,238.373,-15.524,15.412,164.476
544,1.603,188.51,172.496,242.291,4.847,21.301,4.847
545,0.922,182.18,154.166,240.076,15.656,12.229,15.656
546,0.883,137.213,60.737,238.852,-64.093,11.673,115.907
547,0.889,222.746,194.699,243,-104.036,11.751,75.964
548,0.973,211.059,149.479,243,-77.58,12.902,102.42
549,0.962,214.607,137.896,243,-27.319,12.747,152.681
550,0.906,117.103,95.2,222,-2.148,12.008,177.852
551,0.906,212.522,164.25,243,-87.138,12.015,92.862
552,0.906,115.272,49.571,242.511,-84.968,11.971,95.032
553,0.922,213.111,155.54,243,-91.406,12.229,88.594
554,0.917,214.6,152.481,243,-92.827,12.165,87.173
555,0.984,202.768,129.653,243,-114.499,13.022,65.501
556,0.979,132.415,104.766,205.687,7.989,12.951,7.989
557,0.967,215.458,174.258,243,7.042,12.847,7.042
558,0.568,206.6,165.875,243,-8.049,7.499,171.951
559,0.889,205.695,122.754,243,-33.589,11.794,146.411
560,0.63,110.673,5.514,226.784,-76.464,8.331,103.536
561,0.99,209.95,164.827,243,10.861,13.135,10.861
562,0.776,207.811,149.279,243,21.879,10.264,21.879
563,0.793,195.308,179.908,217,-6.973,10.503,173.027
564,0.906,143.474,111.418,203.847,19.002,11.978,19.002
565,1.215,111.154,81.002,230.515,-8.281,16.143,171.719
566,1.136,159.159,123.168,218.839,-11.757,15.092,168.243
567,1.086,219.576,182.614,243,10.198,14.403,10.198
568,1.012,111.565,60.939,236.957,-74.801,13.445,105.199
569,0.861,209.702,157.03,243,-66.306,11.385,113.694
570,0.956,102.441,53.691,235.583,-32.185,12.672,147.815
571,0.754,107.488,75.285,243,-12.995,10.006,167.005
572,0.962,115.889,21,227.376,-16.409,12.744,163.591
573,1.069,212.187,158.276,243,-14.99,14.208,165.01
574,0.579,225.913,201.047,243,-39.806,7.615,140.194
575,1.069,182.537,148.928,243,-22.364,14.192,157.636
576,1.282,169.512,118.26,232.119,-174.691,17.023,5.309
577,0.883,184.361,129.431,244.189,-172.284,11.731,7.716
578,1.114,150.418,78.883,240.635,-46.027,14.799,133.973
579,1.057,124.871,47,229.636,-130.668,14.041,49.332
580,0.883,212.778,160.167,243,-104.837,11.716,75.163
581,0.872,117.592,59.247,243,-4.456,11.585,175.544
582,0.675,137.802,56.958,236.537,31.954,8.928,31.954
583,0.816,205.049,158.783,243,-7.568,10.819,172.432
584,0.962,204.75,142.597,243,19.179,12.785,19.179
585,1.237,207.614,159.254,243,-4.198,16.394,175.802
586,1.187,220.891,176.893,243,9.597,15.745,9.597
587,0.529,206.98,153.296,243,-76.264,6.949,103.736
588,0.737,67.725,43.295,237.916,-11.051,9.781,168.949
589,1.131,209.47,156.594,243,5.454,14.993,5.454
590,1.108,111.345,81.516,198.02,-4.399,14.668,175.601
591,0.928,219.486,173.304,243,6.649,12.308,6.649
592,0.928,137.3,71.303,240.089,-137.726,12.265,42.274
593,0.669,215.136,137.97,243,-100.739,8.855,79.261
594,0.844,148.189,61.726,240.175,-58.443,11.178,121.557
595,1.001,113.307,27,239.265,50.029,13.309,50.029
596,1.136,152.365,93,238.236,-166.171,15.062,13.829
597,1.254,138.634,93.922,229.606,-6.74,16.615,173.26
598,0.922,223.855,190.697,243,11.31,12.238,11.31
599,1.249,150.844,80.225,241.702,-76.656,16.572,103.344
600,1.041,137.421,86,241.396,-19.026,13.804,160.974
